Number of Iterations: 214
X Poses,Y Poses
Iteration 1,"[[-1.2, -0.95, -0.95, -0.15000000000000002, -0.35000000000000003], [0.25, 0.3, -0.4, -0.35, 0.2]]"
Iteration 2,"[[-1.2037316780850538, -0.9475989095035904, -0.9521377343194353, -0.1435718877154757, -0.34572810500310963], [0.2528052683063408, 0.30385350212709883, -0.4044313407360273, -0.3501634478638671, 0.20217162448944123]]"
Iteration 3,"[[-1.2072310480682855, -0.9449951990245382, -0.9545159376095942, -0.13713146953636995, -0.3413124587122748], [0.2556849973164531, 0.3074960596123273, -0.40883435005587726, -0.35033576309360204, 0.20432368806390389]]"
Iteration 4,"[[-1.2105941969988658, -0.9422292859392469, -0.9571044051305936, -0.13067340768097885, -0.33678329220330383], [0.2584054160340502, 0.311032205619814, -0.4132790510201122, -0.3505104967309909, 0.20649071043415967]]"
Iteration 5,"[[-1.2137857687524056, -0.9392717372847115, -0.9597442994552615, -0.12419739210605904, -0.3321417263491659], [0.2609569156343763, 0.31449180983232067, -0.41766628056533617, -0.3506853350856072, 0.20867867746511756]]"
Iteration 6,"[[-1.2168647688419318, -0.9361641257931289, -0.9622008712716887, -0.1177045455572312, -0.3274023362669188], [0.26336792110642504, 0.31793306394013476, -0.4218498433427346, -0.35085925510266047, 0.21090022847710393]]"
Iteration 7,"[[-1.219823440239262, -0.9328815824449841, -0.964521692778435, -0.11119986773315538, -0.32256697493247233], [0.26564446695360255, 0.32136708621310595, -0.42586295153845166, -0.35103493545815917, 0.21315705529478318]]"
Iteration 8,"[[-1.2226725941807233, -0.9294214818364126, -0.9666658961161223, -0.10468379152240252, -0.3176428637557441], [0.26780979845931896, 0.32481072969171776, -0.42968965018252975, -0.35121138425915993, 0.2154527273806674]]"
Iteration 9,"[[-1.2254268962841617, -0.925876046152875, -0.9685790562528255, -0.09815002532976638, -0.312646247404817], [0.26989633937460583, 0.3283095773751686, -0.43329784722936215, -0.35138146980276025, 0.2177946689795989]]"
Iteration 10,"[[-1.2280738780963214, -0.9222061235850891, -0.9703720460720655, -0.09160815878954168, -0.30757548908164006], [0.27187469468172254, 0.3318553970026257, -0.4367705372126053, -0.3515519233368801, 0.22017943908326448]]"
Iteration 11,"[[-1.2306265246797674, -0.9183839677107509, -0.9720461783072782, -0.08505822117702264, -0.30243826142752434], [0.2737729459834531, 0.33544405023748436, -0.44009115563828194, -0.35172180415445253, 0.22260795390721622]]"
Iteration 12,"[[-1.2330664673246843, -0.9144572565923998, -0.973612021275409, -0.07850108684121754, -0.2972398646633245], [0.2755764628393069, 0.3390898236390869, -0.44329134082295457, -0.35189094761011114, 0.2250794820602789]]"
Iteration 13,"[[-1.2354176918079733, -0.9103985783007192, -0.9751174417093404, -0.07193727769214842, -0.291989258210799], [0.27730258712687045, 0.3427859116916758, -0.44637671163571646, -0.3520589680485053, 0.22759472851374069]]"
Iteration 14,"[[-1.237680071864189, -0.9062581888349367, -0.9765239495773529, -0.06536915631474607, -0.2866832071273141], [0.2789461608511032, 0.34654084823189313, -0.4493509631259794, -0.35222721935142204, 0.23014869773019972]]"
Iteration 15,"[[-1.2397771698844093, -0.9020466873527906, -0.9778295343735462, -0.0587989584339565, -0.2813273104668368], [0.28052087458668984, 0.3503538251308109, -0.4522353479353084, -0.3523972162393743, 0.2327400893625718]]"
Iteration 16,"[[-1.2418048073303694, -0.8977301655241164, -0.9790763697281598, -0.05222652384078344, -0.2759246595595808], [0.28205031677282877, 0.3542159439554071, -0.45499279066224624, -0.3525685552764863, 0.23536652275947356]]"
