Number of Iterations: 259
X Poses,Y Poses
Iteration 1,"[[1.3, 1.05, 1.05, 0.25, 0.45], [0.25, 0.3, -0.4, -0.35, 0.2]]"
Iteration 2,"[[1.3010578201506162, 1.0479420518800309, 1.0497849298393744, 0.24354776058523714, 0.44533211035146203], [0.2534484442050844, 0.3045140711146635, -0.40517434726252116, -0.35014091329078306, 0.2018730924900759]]"
Iteration 3,"[[1.302093753113383, 1.045635817573817, 1.049549436300992, 0.23697289500629057, 0.4405396840177008], [0.25677624718937747, 0.3090121166680575, -0.41035212447746233, -0.3500985293350787, 0.20350871721107494]]"
Iteration 4,"[[1.3031080116670923, 1.0431009763979304, 1.0492337524159927, 0.23041253675536685, 0.43583568318052396], [0.2599894741304165, 0.313553504847227, -0.41547513943472547, -0.3500455037237682, 0.2051349258418042]]"
Iteration 5,"[[1.3041004010044035, 1.0403588106996677, 1.0488599453830334, 0.223870700625243, 0.43122266800751924], [0.2630936406638083, 0.3181447101424212, -0.42048579131800135, -0.3499797843519147, 0.2067629608721326]]"
Iteration 6,"[[1.3050703798832894, 1.0376932867106137, 1.048444207332616, 0.21734303643398714, 0.4266953759286461], [0.26609372523235836, 0.32264618180376947, -0.4253172555177407, -0.3499077389368741, 0.20839833029076188]]"
Iteration 7,"[[1.305957405609463, 1.0351372684132643, 1.047987433538149, 0.21082928966817902, 0.42224954516212265], [0.2688852240120607, 0.3271471661815095, -0.42997125153290316, -0.3498313026672299, 0.21005237929064696]]"
Iteration 8,"[[1.3067884654235578, 1.0327116155419978, 1.0474805979415993, 0.20433745148884525, 0.417883966275553], [0.2713964482823926, 0.3317528747064388, -0.4345025518205153, -0.34974446422728017, 0.2117487437351966]]"
Iteration 9,"[[1.3075973743147813, 1.0302792942567944, 1.0469709717359768, 0.1978671537142318, 0.41358887484527035], [0.2738253726483715, 0.33628591652633794, -0.43889658292770223, -0.34965013444091597, 0.21350833816398268]]"
Iteration 10,"[[1.3083841485240109, 1.0277955025348349, 1.0465014944646267, 0.19141391950837727, 0.4093426065686824], [0.27617494662239644, 0.3405841620455556, -0.44315355674127216, -0.34955513846552966, 0.21534183104731575]]"
Iteration 11,"[[1.3090877614354566, 1.0253384711457592, 1.0460205203891, 0.18498485260495262, 0.4051231069731591], [0.27835530141469356, 0.3447018596553263, -0.44728049116487656, -0.34945452887810546, 0.21727528132287624]]"
Iteration 12,"[[1.30973501202339, 1.0228434110161402, 1.045473901063081, 0.17857916175171173, 0.40088603745635826], [0.2804927683456752, 0.34866953823514696, -0.4513176416324075, -0.34935182029216205, 0.219293095399757]]"
Iteration 13,"[[1.3103636961118614, 1.0203129819704035, 1.0449076931090873, 0.17220131856708643, 0.3965588422172973], [0.2825606501731797, 0.3525165452557072, -0.45526660714597955, -0.3492452198452026, 0.22124264083630804]]"
Iteration 14,"[[1.3109264489987622, 1.0177226496650573, 1.0442767372402115, 0.16585313487122108, 0.3921221678995994], [0.28453629541728254, 0.3562566674315354, -0.45911605997197535, -0.3491359951874847, 0.22312815236768735]]"
Iteration 15,"[[1.311413558239777, 1.015176432454439, 1.043582908982539, 0.15953360344120376, 0.3875508463218398], [0.28637080953904853, 0.35996446968398665, -0.4628588627808309, -0.3490283920711216, 0.22494826669565318]]"
Iteration 16,"[[1.3118868383701403, 1.0126975646053786, 1.0429193858660268, 0.15324397151140953, 0.3828133581289206], [0.2881455810442261, 0.3636910419775382, -0.46648637142934296, -0.3489242372145841, 0.22670742673802313]]"
Iteration 17,"[[1.3123544770451665, 1.010259505267099, 1.0421587509685892, 0.14698764215686708, 0.37787060247257587], [0.2897354532790934, 0.3674551554426024, -0.4700438362027046, -0.3488232095629509, 0.22839153059644984]]"
Iteration 18,"[[1.3128085199040402, 1.0077625050142873, 1.0413804819514092, 0.14076745887715356, 0.3728061232034973], [0.29127342789616595, 0.3712043752376468, -0.47350634453872403, -0.3487258168685914, 0.23002166039962402]]"
Iteration 19,"[[1.3131907284646531, 1.0052810527292608, 1.0405897515734468, 0.13458257563199688, 0.36788711976601546], [0.2926998376107499, 0.375020678136988, -0.4768372022638601, -0.34863666926173625, 0.2317244953762113]]"
Iteration 20,"[[1.3135306774166982, 1.0027736242173257, 1.0397662916325252, 0.12843622016843032, 0.3630416303987689], [0.29396823529855076, 0.3788854545952747, -0.4800688931382966, -0.34855586722049964, 0.23354271428834877]]"
Iteration 21,"[[1.3138161189063313, 1.0002568186715595, 1.0389209511526512, 0.12232909830132574, 0.35818749359212626], [0.2951868952780953, 0.3828342238810824, -0.4832387850403746, -0.34848646372426634, 0.23549024669104265]]"
Iteration 22,"[[1.3140932878955527, 0.9976681376860518, 1.038018619742304, 0.1162661155924517, 0.3534571740516457], [0.29636564828811085, 0.38680504970644847, -0.4862860342600627, -0.3484267788355711, 0.23730122903661244]]"
Iteration 23,"[[1.314299264645737, 0.9949810995785319, 1.0370479458767319, 0.1102531778957518, 0.3488701985128759], [0.29727652830202167, 0.390766205136248, -0.4893237460208514, -0.3483741776237187, 0.2389591616709631]]"
Iteration 24,"[[1.3144425335372343, 0.9922032972814786, 1.0360706902468317, 0.10428723358945279, 0.34438953029455227], [0.2981131456572435, 0.39472924469405896, -0.4922321002602341, -0.34833677594605195, 0.24049540288896737]]"
Iteration 25,"[[1.3144843901462901, 0.9893763427294868, 1.0350766325569871, 0.09837710284654669, 0.33998764473771204], [0.298885486951914, 0.39876520219750455, -0.4950266492157434, -0.3483080894185026, 0.24193749319341748]]"
Iteration 26,"[[1.314525370914142, 0.9864622078873975, 1.0340231546821206, 0.09252836171824119, 0.3356342958236337], [0.2996323092981164, 0.40281203791993025, -0.4977531770510296, -0.3482857863453677, 0.2432953624651338]]"
Iteration 27,"[[1.3145660155440426, 0.9834464241840966, 1.0330051965799452, 0.08674020586887476, 0.33133103190541024], [0.3003544194190231, 0.40684003310935796, -0.5003926903979756, -0.3482756601075589, 0.24463203493533242]]"
Iteration 28,"[[1.314512532085145, 0.9803915188434936, 1.0319246669382063, 0.08102216392129419, 0.3271064418467274], [0.3010291902300001, 0.41098240126337615, -0.5029085304683428, -0.3482694496777568, 0.24610948802632504]]"
Iteration 29,"[[1.3143973414266963, 0.9771888947897739, 1.0308802566597126, 0.07536878368471589, 0.3229129398694456], [0.301615283573265, 0.4149851077789307, -0.5053437414886396, -0.34827930365958293, 0.24772034833823198]]"
Iteration 30,"[[1.3142875511387087, 0.9738866716663792, 1.0297802127101883, 0.06979114645709202, 0.3187155912941127], [0.3021815258865217, 0.4189585569735861, -0.507702960480998, -0.34829317088318634, 0.24945895091554893]]"
Iteration 31,"[[1.3142163449178934, 0.9704869473404915, 1.0286359322360246, 0.06429298785322633, 0.31448857369286715], [0.30260351818968895, 0.4229017908671823, -0.5099845387852168, -0.3483090690567342, 0.2513225790106751]]"
Iteration 32,"[[1.3141483078875245, 0.9669981627991885, 1.0274880458626754, 0.058878416463878355, 0.31021072659615107], [0.30301110590760083, 0.42683413925245445, -0.5121015687216506, -0.3483233541028709, 0.2532961168704523]]"
Iteration 33,"[[1.3139715035932371, 0.9634227925270455, 1.0262394800302403, 0.053552872057644536, 0.3058662577859488], [0.30333702702079607, 0.4307573134082211, -0.5141828109156186, -0.34832855340047597, 0.25535238721121784]]"
Iteration 34,"[[1.3137900266150977, 0.9598024940851466, 1.0249761126976908, 0.048318075814205455, 0.3014462121327697], [0.30338925011806106, 0.4345840908142371, -0.5161913685031249, -0.3483215576343226, 0.25748730736919045]]"
Iteration 35,"[[1.3135786308096125, 0.9561723971366674, 1.0236591035896037, 0.04317331731840035, 0.2969444730823745], [0.3034612460596825, 0.4383081461074185, -0.518175342893666, -0.3483015199196594, 0.25967589963287974]]"
Iteration 36,"[[1.3132678669368565, 0.9525634027142914, 1.0223174763691931, 0.03812435719838115, 0.29235775619116694], [0.3033633972674627, 0.4420477454983271, -0.5200684337067241, -0.34825069365327677, 0.2619174518339479]]"
Iteration 37,"[[1.3129112212475076, 0.9490240231477114, 1.0209708737628747, 0.033171554472774825, 0.28768472475065715], [0.303232368201739, 0.4457173736654372, -0.5219299143106446, -0.34815671434310824, 0.2642040276306457]]"
Iteration 38,"[[1.3124762213018366, 0.9454156364423439, 1.0196224608513134, 0.02830331408518705, 0.28292790537410806], [0.3030815394206148, 0.4492409683060097, -0.5237818302883714, -0.3480312203563251, 0.2665055017273006]]"
Iteration 39,"[[1.3119460225929898, 0.941793029806215, 1.0182788870384027, 0.023519619656040047, 0.27808821225711744], [0.3028780600070726, 0.4526878789694112, -0.525547573142187, -0.3478470572292434, 0.26882168930803835]]"
Iteration 40,"[[1.3114348099039126, 0.9381358788092462, 1.0169309792023409, 0.01880877727774895, 0.27316848508367725], [0.3026805232313294, 0.45603593641966417, -0.5272807559022832, -0.34759894885632453, 0.2711435575986723]]"
Iteration 41,"[[1.3109215601292592, 0.9345104091656009, 1.0155677284524671, 0.014158905778952822, 0.26817013760867947], [0.3025009460220508, 0.45935265640366, -0.5289057922553969, -0.3472642351042058, 0.27347411278903266]]"
Iteration 42,"[[1.3103699711903631, 0.930906435706506, 1.0141630314389323, 0.009549956297503128, 0.26309663337574185], [0.30230536142069436, 0.4625471098419352, -0.530467450166034, -0.34682582149778785, 0.27580757887710855]]"
Iteration 43,"[[1.3098042607046665, 0.9272325010525956, 1.0128045287789447, 0.0049517715178983394, 0.2579549047818673], [0.30215024234024807, 0.465681412833408, -0.5319788959522628, -0.3462958142603597, 0.27812441340275057]]"
Iteration 44,"[[1.3091922178979762, 0.9235676664567827, 1.0114479122510944, 0.00033109990710759873, 0.252743209298999], [0.30195638686391324, 0.46865728644100696, -0.533433901611989, -0.34563727555184637, 0.28044241378794604]]"
Iteration 45,"[[1.3085498519436143, 0.9199191180071044, 1.0100498799107913, -0.004347775260076306, 0.2474690757101654], [0.301596083951409, 0.47162045148121495, -0.5348908164318757, -0.3450049107453214, 0.2827439815275463]]"
Iteration 46,"[[1.307887350503599, 0.9161612417824977, 1.0086089260218492, -0.009104367956000742, 0.2421354456437429], [0.3012603137094585, 0.47441084432451003, -0.5363033326609054, -0.34446025646910244, 0.28502832982045606]]"
Iteration 47,"[[1.307252670130095, 0.9123719289869582, 1.0071152334859297, -0.013965901914027919, 0.23674282351818715], [0.3008315852422725, 0.47705468529271233, -0.5376570289150225, -0.3439910073984105, 0.28730293404781126]]"
Iteration 48,"[[1.3065771102892545, 0.9085225704231943, 1.005578362329785, -0.01896437204823534, 0.2312953293336801], [0.3004971322850091, 0.47968514459879075, -0.5388862515430894, -0.3436065638968889, 0.2895639212822854]]"
Iteration 49,"[[1.3058614330720155, 0.9046668756951323, 1.004042173755781, -0.024135237977910014, 0.22579797544304905], [0.3001445430712032, 0.482196854059154, -0.5401090180430539, -0.34333015662306743, 0.2918045342319883]]"
Iteration 50,"[[1.3051292325536799, 0.9007904483333483, 1.0025031436732084, -0.029486972335527294, 0.22025657935917375], [0.2997224007243235, 0.4846248689004817, -0.5413187222597186, -0.3431758139232904, 0.29401523863306417]]"
Iteration 51,"[[1.304333966992767, 0.8969089584476225, 1.0009206915790765, -0.03469750726808365, 0.21467422432177177], [0.2993295373365498, 0.48698674474066733, -0.5425235335173485, -0.3428894980895475, 0.29619349026999275]]"
Iteration 52,"[[1.303536474037958, 0.8929492449066341, 0.9993901070316783, -0.0398554132750701, 0.20904952605331945], [0.29899370738036857, 0.48931927538658027, -0.5436897504557492, -0.3424772666951922, 0.2983484827118988]]"
Iteration 53,"[[1.3027658148410846, 0.8890043054847969, 0.9978257554990662, -0.045043591577634996, 0.20338514810895664], [0.29866902778437676, 0.4914663109669556, -0.5447989332866316, -0.34191874202672673, 0.30047922108189823]]"
Iteration 54,"[[1.3019172982541436, 0.8850715258357749, 0.996264231750922, -0.05010434662168481, 0.19768261010071742], [0.29830806213286454, 0.49358377388934843, -0.5459429452921145, -0.3414105257903292, 0.30258732833338425]]"
Iteration 55,"[[1.3010511196676113, 0.8811154627838729, 0.9947538901464198, -0.054977788207737396, 0.19194201037180897], [0.2979613704953378, 0.49560261004019684, -0.5470501253101265, -0.3410073152128512, 0.30467783088188427]]"
Iteration 56,"[[1.3001584165077813, 0.8771300819304614, 0.9932103047543631, -0.05970959003321977, 0.18616970114378814], [0.297608279506271, 0.49755830950066227, -0.5480931773364994, -0.3406853750353676, 0.3067409505236511]]"
Iteration 57,"[[1.2992460932692371, 0.8731013405186998, 0.9916696117409297, -0.06433760019110196, 0.1803659602195194], [0.2973604418868639, 0.49945125939603013, -0.5491215434392531, -0.3404294744688398, 0.30878005007727594]]"
Iteration 58,"[[1.298306043876738, 0.869109633110565, 0.9901441023884201, -0.0688942201428495, 0.17453217051572012], [0.2969681813859244, 0.5012888684694912, -0.5501498712170699, -0.3402350179015398, 0.3107960614787633]]"
Iteration 59,"[[1.2973998904410908, 0.8650666912370487, 0.988587216113184, -0.07339801331832348, 0.16867645095426248], [0.29669995682403216, 0.5029199464669434, -0.5511079520534029, -0.3400562117969161, 0.31277476039489105]]"
