Number of Iterations: 245
X Poses,Y Poses
Iteration 34,"[[1.305542032653305, 0.9340466651023074, 1.032442435946973, 0.03697193494396518, 0.30928673874460355], [0.2962018470028207, 0.41399184667887984, -0.497018058951654, -0.3490225966145307, 0.2751758434100253]]"
Iteration 35,"[[1.3051388503665826, 0.9299801756625455, 1.0313248530343637, 0.030867719378670697, 0.3048351691375911], [0.2965773996162469, 0.41756295535005516, -0.49863749880716357, -0.3490591103072041, 0.2780156518318093]]"
Iteration 36,"[[1.3047112434762074, 0.9258410550252923, 1.030142380886379, 0.024801833665558368, 0.3003029795832066], [0.29695586873859176, 0.42117626588845875, -0.5001596161956984, -0.3491118642728418, 0.28087699776666186]]"
Iteration 37,"[[1.3041905500680495, 0.9216273262481598, 1.0289343433887606, 0.018779374624565887, 0.29569164846101553], [0.29725105569149646, 0.4247844984016629, -0.501711948640315, -0.3491785622082392, 0.2837583841685191]]"
Iteration 38,"[[1.3036838589684911, 0.9173306143486231, 1.0277254552315827, 0.012802546505430973, 0.2910034763510542], [0.2975265359761721, 0.4282222797346163, -0.503206255238798, -0.34926064258761996, 0.28665267563929175]]"
Iteration 39,"[[1.3032315293621612, 0.9130975904511304, 1.0264222042615978, 0.006877241399641784, 0.2862409297344917], [0.2976858524329195, 0.43155583443085666, -0.5046941723908093, -0.3493549294626013, 0.28955713662095717]]"
Iteration 40,"[[1.3028006965195789, 0.9089428530496378, 1.0250832630474986, 0.0010015943340502612, 0.2814076312386103], [0.29775266127115385, 0.43471624714382406, -0.5061871981188811, -0.34946837208062687, 0.2924607361075675]]"
Iteration 41,"[[1.3022780159176843, 0.9047952205468525, 1.023728287325986, -0.004817909800274724, 0.2765061166007972], [0.2977670354355591, 0.4379019340264565, -0.5076934389648509, -0.3495966350025107, 0.29536397199802655]]"
Iteration 42,"[[1.3017174179617184, 0.9006520976120924, 1.0222919743802794, -0.010577288656027077, 0.2715389703655184], [0.297747323667435, 0.44108388355845973, -0.5091541777781547, -0.349738760464552, 0.29826775744513423]]"
Iteration 43,"[[1.3011386453067006, 0.8965082621801439, 1.0208292246517365, -0.016272586490366066, 0.2665101094956788], [0.29774806554040156, 0.4441280599312979, -0.5105304251605007, -0.34989361299615807, 0.30116503025460645]]"
Iteration 44,"[[1.3005007523704772, 0.8924021908970621, 1.0193392645228283, -0.021901993858484292, 0.2614236199418046], [0.29774621306996935, 0.44701952758808955, -0.5118613214508323, -0.3500629277954751, 0.3040479117577406]]"
Iteration 45,"[[1.299828745681213, 0.8882836679481172, 1.01784747199044, -0.027463221289146078, 0.2562823990072557], [0.2977126011555499, 0.44992357315862247, -0.5131794119426427, -0.35024730557014944, 0.3069145688491592]]"
Iteration 46,"[[1.29913445827427, 0.8841995218041453, 1.0164006896684887, -0.03295095381207993, 0.25108869744542484], [0.2976783471289551, 0.45272630201715897, -0.5144686720320517, -0.35044180937389774, 0.3097661333753462]]"
Iteration 47,"[[1.298458587771102, 0.8801570234346722, 1.0149188459533733, -0.0383631755520384, 0.245846758281374], [0.2976325466103831, 0.45538219367700905, -0.5156980247868851, -0.3506461664413087, 0.3125944145332541]]"
Iteration 48,"[[1.2976796732659994, 0.8760288324796972, 1.0134465777516906, -0.04369604462130919, 0.24055817597160284], [0.29760684225171874, 0.457975264841643, -0.516895404001417, -0.35085566299292875, 0.3154019330583504]]"
Iteration 49,"[[1.2969332004188596, 0.871969004342633, 1.0119610224847704, -0.0489410064609877, 0.23522290680730237], [0.2976022050049235, 0.4605778240173301, -0.5180068133756112, -0.3510542840049828, 0.318197924743686]]"
Iteration 50,"[[1.296125962381412, 0.8678952685740828, 1.0104808418980806, -0.05410303846703336, 0.22984674399040433], [0.2976058265204411, 0.46309348803799744, -0.5190857323551259, -0.3512511296691017, 0.32096919720186184]]"
Iteration 51,"[[1.295338695503362, 0.8637994223308358, 1.008967085480476, -0.05917754446451644, 0.22443180261181128], [0.29759073684991355, 0.4654545143039482, -0.5201190794782946, -0.35143175777134844, 0.3237148877405565]]"
Iteration 52,"[[1.2945310761898532, 0.8597194070722067, 1.0074591066493546, -0.0641647859311466, 0.21897986240518558], [0.29757208953916225, 0.4677238054331681, -0.5211215577744363, -0.3515881424610934, 0.3264349999927111]]"
Iteration 53,"[[1.2936735758792526, 0.8556164444103552, 1.0059677358465051, -0.06906909717449194, 0.21349294536367913], [0.29758115927316986, 0.4698999351207663, -0.5220770526162762, -0.3517177872356968, 0.32912843935374697]]"
Iteration 54,"[[1.292852064694929, 0.8515312194757713, 1.0044486479570556, -0.0738923874684349, 0.20797154217887087], [0.2975583957277142, 0.47201911110814837, -0.5230016419829575, -0.3518027683731871, 0.3317989044431495]]"
Iteration 55,"[[1.2919692580766144, 0.8474184939608536, 1.0028546990263623, -0.07863870911605472, 0.20241495130725953], [0.29753643698985, 0.47406701281621155, -0.5238790820355318, -0.35181607354783706, 0.3344541420234171]]"
Iteration 56,"[[1.291123003614301, 0.8433167185348981, 1.001238053766269, -0.08332391454384792, 0.19682773246936106], [0.29753664278174663, 0.47599741657671596, -0.5246752006159137, -0.35176083603333946, 0.33708587227635906]]"
Iteration 57,"[[1.290305727559798, 0.8392127155400018, 0.9996004315906828, -0.08796408207468653, 0.19121108006330478], [0.2974631553010855, 0.47781672134121966, -0.5254920302862782, -0.35161831901109114, 0.3396949369711591]]"
Iteration 58,"[[1.2893664417097612, 0.835007219099089, 0.9979874649948132, -0.09258420469059855, 0.18557127685564181], [0.29745907712194786, 0.47963947408497487, -0.5262541015587414, -0.35139887313146795, 0.3422668105560464]]"
Iteration 59,"[[1.288458148600983, 0.8308220771256107, 0.9964278200471757, -0.09721269561506593, 0.17990156705605667], [0.29745489273147985, 0.4813428283381906, -0.526991883063952, -0.3510741348977533, 0.34482314753466464]]"
Iteration 60,"[[1.2875803919644622, 0.8267122683920961, 0.99481561094179, -0.1018873986389128, 0.17420250395629028], [0.29745203983472546, 0.48305868823389136, -0.5276652597706835, -0.35065373983034454, 0.3473672051329359]]"
Iteration 61,"[[1.286651284897571, 0.8225226512979333, 0.9932224585053914, -0.10662109954190493, 0.16848284930863414], [0.29736739962609077, 0.4846974155467221, -0.5284150976378783, -0.3503412167619133, 0.3498794684814407]]"
Iteration 62,"[[1.2856501468927493, 0.8183078901484623, 0.9916512470066788, -0.111434250741675, 0.16274201024087614], [0.2973532149656578, 0.4863118732362372, -0.5290955777372419, -0.3501265706572043, 0.35236333922894686]]"
Iteration 63,"[[1.2846697344013056, 0.8141278776547098, 0.9900497239224184, -0.11635338954713254, 0.15697629910976907], [0.29730350965029895, 0.4878096105341628, -0.5297643911506397, -0.3500094494363012, 0.3548308302563179]]"
Iteration 64,"[[1.283722262817385, 0.8099276940569543, 0.9885010631177821, -0.12140424860959617, 0.1511926757408404], [0.2972554087424796, 0.4892793607813412, -0.5304118404517814, -0.35001384106674416, 0.35726733923640014]]"
Iteration 65,"[[1.2826673659404606, 0.8057374948286272, 0.9869045435143494, -0.12662254218570865, 0.14538864891310538], [0.29715646636238924, 0.4907133567216404, -0.531102603617068, -0.35015632823872944, 0.3596806208477056]]"
Iteration 66,"[[1.2815920306552826, 0.8015773279871257, 0.9853048097213428, -0.13193830017531155, 0.13956406441661923], [0.29714368795994117, 0.49204379490050143, -0.5316856765542975, -0.3503910606865252, 0.36207339652478837]]"
Iteration 67,"[[1.2805580534426066, 0.7973568953594035, 0.9836808779412828, -0.1371410351651795, 0.1337174670000995], [0.2971480976386272, 0.4932628575942703, -0.5322023744212192, -0.3504883076787706, 0.3644518253788635]]"
Iteration 68,"[[1.279495671856445, 0.793181713920732, 0.9820175603093382, -0.14231676990346612, 0.12785484190451646], [0.29710722428686026, 0.49443360858318547, -0.5327352902500755, -0.3504445732653117, 0.36680443996743406]]"
Iteration 69,"[[1.2783936278031713, 0.7889678674425092, 0.9804106464611442, -0.14754891440296258, 0.12197687396778309], [0.2970979060777524, 0.49559176590166376, -0.5332469747502265, -0.35027522516955645, 0.36913091952054516]]"
Iteration 70,"[[1.2773053563563017, 0.7847265396604057, 0.978787565708729, -0.15260250484835874, 0.11608494164088962], [0.2971358968050567, 0.4965517105136972, -0.5336766611087136, -0.3502007024105124, 0.3714291803956641]]"
Iteration 71,"[[1.276246544162279, 0.7805689710551292, 0.9771772279184344, -0.15746588629169087, 0.11017223154731344], [0.2971553289429656, 0.4974737780771637, -0.5340977710404881, -0.35020612082914915, 0.37371600991360954]]"
Iteration 72,"[[1.2751421890306527, 0.7763778130429854, 0.9755738011303792, -0.16219088431391057, 0.10424731651873764], [0.2971941862961362, 0.498395692813347, -0.5344958018245145, -0.3502868708990013, 0.3759747017169769]]"
Iteration 73,"[[1.2740265757524076, 0.7721376088934175, 0.9739680358673699, -0.1668143108234016, 0.09831320503859284], [0.29730694444153966, 0.49926265932405894, -0.5347997973429119, -0.3504349972843659, 0.37819892109862013]]"
Iteration 74,"[[1.2729695972891946, 0.7678988420260983, 0.9723728165766751, -0.17136577987387516, 0.0923638554428014], [0.2973457248935279, 0.5000540575812912, -0.5351432582387589, -0.35064842579300515, 0.3804018906851222]]"
Iteration 75,"[[1.2719454854055436, 0.7636392525706603, 0.9707890728286717, -0.17586392080868216, 0.08640266295432283], [0.2973819285484765, 0.5007786812065942, -0.5354632247115799, -0.3508540202578668, 0.3825775802891147]]"
Iteration 76,"[[1.2708066131918083, 0.759329910147285, 0.9692245531718496, -0.18033895796623495, 0.08043192310969047], [0.2974765393368203, 0.5015077822849994, -0.5357520240457558, -0.3509066589831994, 0.38472152938238025]]"
Iteration 77,"[[1.2697124606342172, 0.7549847895047799, 0.9676336108317172, -0.1848331473938023, 0.07444259292978991], [0.2975901304406705, 0.5021745540603052, -0.5359785467752041, -0.35080955949536935, 0.38685323127685284]]"
Iteration 78,"[[1.2686596396433292, 0.7506386181573738, 0.966031817270561, -0.18937849246390673, 0.06843756223287839], [0.29771646415472935, 0.5027859006601436, -0.5361565638417096, -0.3505800561125473, 0.38896910729432904]]"
Iteration 79,"[[1.267566932713517, 0.7463398414253939, 0.9644146474164472, -0.19399564462005786, 0.06242119908218213], [0.29786433729851314, 0.5033644097579419, -0.5363039416061136, -0.35024844074511513, 0.39106182517664745]]"
Iteration 80,"[[1.2664145443777093, 0.7419647847333596, 0.9628328543100202, -0.19869236215457053, 0.056398506091212636], [0.29798619135082977, 0.5040169176351991, -0.5364955666729566, -0.34986139176213454, 0.3931216814516184]]"
Iteration 81,"[[1.2652959411925844, 0.737642593687554, 0.961191337580134, -0.20348725331725737, 0.05035937609681698], [0.29803498046354515, 0.5045929767254589, -0.5367115090178641, -0.3493946887407975, 0.3951689281726213]]"
Iteration 82,"[[1.2641551723880646, 0.7333240045610487, 0.9595850221270138, -0.20837963486866753, 0.0443096457997147], [0.2981449918265256, 0.5050785017035447, -0.536871402589834, -0.3488830503024779, 0.3971938287569976]]"
Iteration 83,"[[1.2630149756076459, 0.7290200031437429, 0.9579901433689979, -0.2133656935010567, 0.038254284401758105], [0.2982668040138673, 0.5055775463692355, -0.5370090597508881, -0.3483536094983039, 0.3991870326190188]]"
Iteration 84,"[[1.261856042431668, 0.724690051060037, 0.9563584526935236, -0.21844185759333654, 0.03219289208442595], [0.2983493592140112, 0.5060220478977125, -0.5371650407678124, -0.34782287986947846, 0.40114873977232335]]"
